Year	Month	Nb_of_distinct_IPs	Nb_of_downloads
2025	Jan	6	60
2025	Feb	0	0
2025	Mar	0	0
2025	Apr	0	0
2025	May	0	0
2025	Jun	0	0
2025	Jul	0	0
2025	Aug	0	0
2025	Sep	0	0
2025	Oct	0	0
2025	Nov	0	0
2025	Dec	0	0
2025	all	6	60
2024	Jan	29	130
2024	Feb	15	42
2024	Mar	60	124
2024	Apr	70	186
2024	May	29	78
2024	Jun	19	74
2024	Jul	18	64
2024	Aug	56	118
2024	Sep	62	124
2024	Oct	21	90
2024	Nov	5	88
2024	Dec	11	80
2024	all	364	1198
2023	Jan	44	83
2023	Feb	31	67
2023	Mar	85	96
2023	Apr	131	163
2023	May	48	60
2023	Jun	32	56
2023	Jul	43	69
2023	Aug	49	94
2023	Sep	35	73
2023	Oct	30	137
2023	Nov	19	67
2023	Dec	13	52
2023	all	471	1017
2022	Jan	40	84
2022	Feb	32	62
2022	Mar	56	99
2022	Apr	34	55
2022	May	48	67
2022	Jun	30	40
2022	Jul	36	59
2022	Aug	22	38
2022	Sep	33	63
2022	Oct	27	52
2022	Nov	44	69
2022	Dec	33	51
2022	all	328	739
2021	Jan	36	91
2021	Feb	36	105
2021	Mar	61	120
2021	Apr	74	134
2021	May	69	111
2021	Jun	45	78
2021	Jul	51	90
2021	Aug	46	78
2021	Sep	66	96
2021	Oct	62	103
2021	Nov	44	72
2021	Dec	47	80
2021	all	485	1158
2020	Jan	43	76
2020	Feb	35	65
2020	Mar	50	114
2020	Apr	50	91
2020	May	49	100
2020	Jun	62	161
2020	Jul	43	90
2020	Aug	63	141
2020	Sep	51	255
2020	Oct	60	126
2020	Nov	36	96
2020	Dec	29	74
2020	all	432	1389
2019	Jan	82	145
2019	Feb	61	107
2019	Mar	67	112
2019	Apr	72	117
2019	May	72	149
2019	Jun	62	96
2019	Jul	70	119
2019	Aug	39	64
2019	Sep	37	79
2019	Oct	36	62
2019	Nov	38	87
2019	Dec	31	82
2019	all	483	1219
2018	Jan	60	81
2018	Feb	58	66
2018	Mar	56	68
2018	Apr	124	180
2018	May	65	96
2018	Jun	79	120
2018	Jul	68	90
2018	Aug	61	101
2018	Sep	62	105
2018	Oct	62	122
2018	Nov	70	148
2018	Dec	65	112
2018	all	670	1289
2017	Jan	2	2
2017	Feb	11	11
2017	Mar	6	7
2017	Apr	39	53
2017	May	71	90
2017	Jun	76	97
2017	Jul	67	88
2017	Aug	48	97
2017	Sep	56	78
2017	Oct	61	84
2017	Nov	68	112
2017	Dec	54	85
2017	all	473	804
2016	Jan	0	0
2016	Feb	0	0
2016	Mar	0	0
2016	Apr	0	0
2016	May	0	0
2016	Jun	0	0
2016	Jul	0	0
2016	Aug	0	0
2016	Sep	0	0
2016	Oct	0	0
2016	Nov	0	0
2016	Dec	5	9
2016	all	5	9
